First Level,Second Level,Third Level
,,Conditions for Satisfaction...........................................................................................................189
,,Works Of Satisfaction Are Of Three Kinds..................................................................................189
,,One Can Satisfy For Another ......................................................................................................189
,,Duties of the Confessor as Regards Satisfaction........................................................................190
,,Restitution Must Be Insisted On..................................................................................................190
,,Quantity And Quality Of Penances Should Be Reasonable .......................................................190
,,Voluntary Works Of Penance Should Be Recommended...........................................................190
,,Admonition...................................................................................................................................191
,THE SACRAMENT OF EXTREME UNCTION...............................................................................191,
,,Importance Of Instruction On Extreme Unction ..........................................................................191
,,Names of this Sacrament............................................................................................................191
,,Extreme Unction Is a True Sacrament ........................................................................................191
,,Extreme Unction Is But One Sacrament .....................................................................................192
,,Essential Parts of Extreme Unction.............................................................................................192
,,The Matter Of Extreme Unction...................................................................................................192
,,The Form Of Extreme Unction ....................................................................................................192
,,The Ceremonies Of Extreme Unction .........................................................................................193
,,Institution of Extreme Unction .....................................................................................................193
,,The Subject of Extreme Unction..................................................................................................193
,,The Danger Must Arise From Sickness ......................................................................................194
,,The Person Anointed Must Have Attained The Use Of Reason.................................................194
,,Administration of Extreme Unction..............................................................................................194
,,13Dispositions for the Reception of Extreme Unction.....................................................................194
,,The Minister of Extreme Unction.................................................................................................195
,,The Effects of Extreme Unction...................................................................................................195
,,Admonition...................................................................................................................................196
,THE SACRAMENT OF HOLY ORDERS .......................................................................................196,
,,Importance Of Instruction On This Sacrament............................................................................196
,,Dignity of this Sacrament ............................................................................................................197
,,Requirements in Candidates for Orders......................................................................................197
,,"Holiness, Knowledge, Prudence .................................................................................................197"
,,Divine Call...................................................................................................................................197
,,Right Intention .............................................................................................................................198
,,The Twofold Power Conferred by this Sacrament ......................................................................198
,,The Power Of Orders ..................................................................................................................199
,,Greatness Of This Power............................................................................................................199
,,Names of this Sacrament............................................................................................................199
,,Holy Orders Is a Sacrament........................................................................................................199
,,Number of Orders........................................................................................................................200
,,Tonsure.......................................................................................................................................200
,,"The Name ""Cleric"".......................................................................................................................200"
,,Origin And Meaning Of Tonsure .................................................................................................200
,,The Minor Orders ........................................................................................................................201
,,Porter...........................................................................................................................................201
,,Reader.........................................................................................................................................201
,,Exorcist........................................................................................................................................202
,,Acolyte.........................................................................................................................................202
,,The Major Orders ........................................................................................................................202
,,Subdeacon..................................................................................................................................202
,,Deacon........................................................................................................................................203
,,Priest...........................................................................................................................................203
,,Twofold Priesthood......................................................................................................................203
,,The Internal Priesthood...............................................................................................................203
,,The External Priesthood..............................................................................................................204
,,Functions of the Priesthood.........................................................................................................204
,,Degrees of the Priesthood...........................................................................................................205
,,Priests..........................................................................................................................................205
,,Bishops........................................................................................................................................205
,,Archbishops.................................................................................................................................205
,,Patriarchs....................................................................................................................................205
,,The Pope.....................................................................................................................................205
,,The Minister of Holy Orders ........................................................................................................206
,,The Recipient of Holy Orders......................................................................................................206
,,Qualifications for the Priesthood .................................................................................................206
,,Holiness Of Life ...........................................................................................................................206
,,Competent Knowledge................................................................................................................207
,,Canonical Fitness........................................................................................................................207
,,Effects of Holy Orders .................................................................................................................207
,,Admonition...................................................................................................................................208
,THE SACRAMENT OF MATRIMONY ...........................................................................................208,
,,Importance Of Instruction On This Sacrament............................................................................208
,,Nature and Meaning of Marriage ................................................................................................208
,,Names Of This Sacrament..........................................................................................................209
,,Definition Of Matrimony...............................................................................................................209
,,Essence And Cause Of Marriage................................................................................................209
,,The Kind of Consent Required in Matrimony ..............................................................................210
,,14Mutual..........................................................................................................................................210
,,External.......................................................................................................................................210
,,Present........................................................................................................................................210
,,The Essence of Marriage Constituted by the Consent ...............................................................210
,,Twofold Consideration of Marriage .............................................................................................211
,,Marriage As A Natural Contract ..................................................................................................211
,,Instituted By God.........................................................................................................................211
,,Marriage Is Indissoluble By Divine Law ......................................................................................211
,,Marriage Not Obligatory On All ...................................................................................................211
,,The Motives And Ends Of Marriage ............................................................................................212
,,Marriage Considered as a Sacrament ........................................................................................212
,,Marriage Is A Sacrament.............................................................................................................213
,,Marriage before Christ.................................................................................................................213
,,It Was Not A Sacrament..............................................................................................................213
,,Before Christ Marriage Had Fallen From Its Primitive Unity And Indissolubility .........................214
,,Christ Restored to Marriage its Primitive Qualities......................................................................214
,,Unity Of Marriage ........................................................................................................................214
,,Indissolubility Of Marriage...........................................................................................................214
,,Advantages Of Indissolubility ......................................................................................................214
,,The Three Blessings of Marriage ................................................................................................215
,,Offspring......................................................................................................................................215
,,Fidelity.........................................................................................................................................215
,,Sacrament...................................................................................................................................216
,,The Duties of Married People......................................................................................................216
,,Duties Of A Husband...................................................................................................................216
,,Duties Of A Wife..........................................................................................................................216
,,The Law of the Church on Marriage............................................................................................217
,,The Rite To Be Observed............................................................................................................217
,,The Impediments Of Marriage.....................................................................................................217
,,The Recipient of Matrimony ........................................................................................................217
,,Dispositions With Which The Sacrament Is To Be Approached.................................................217
,,Consent Of Parents.....................................................................................................................218
,,The Use Of Marriage...................................................................................................................218
PART III : THE DECALOGUE ...........................................................................................................218,,
,,Importance Of Instruction On The Commandments ...................................................................218
,,Motives for Observing the Commandments................................................................................219
,,God Is The Giver Of The Commandments .................................................................................219
,,The Commandments Were Proclaimed With Great Solemnity...................................................220
,,The Observance Of The Commandments Is Not Difficult...........................................................220
,,The Observance Of The Commandments Is Necessary ............................................................220
,,The Observance Of The Commandments Is Attended By Many Blessings ...............................221
,,God's Goodness Invites Us To Keep His Commandments ........................................................221
,,The Promulgation of the Law ......................................................................................................222
,,The People To Whom The Law Was Given................................................................................222
,,Epitome Of Jewish History ..........................................................................................................222
,,Lessons To Be Drawn From Jewish History ...............................................................................222
,,The Time And Place In Which The Law Was Promulgated........................................................223
,"THE FIRST COMMANDMENT : ""I am the lord thy god, who brought thee out of the land of Egypt, out of the house of bondage. Thou shalt not have strange gods before me. Thou shalt not make to thyself a graven thing, nor the likeness of any thing that is in heaven above, or in the earth beneath, nor of those things that are in the waters under the earth. Thou shalt not adore them, nor serve them. I am the lord thy god, mighty, jealous, visiting the iniquity of the fathers upon the children, to the third and fourth generation of them that hate me, and showing mercy unto thousands of them that love me, and keep my commandments."" ................................................................................223",
,,"15""I am the Lord thy God"" ...............................................................................................................223"
,,"""Who Brought thee out of the Land of Egypt, out of the House of Bondage"" .............................223"
,,"""Thou shalt not have Strange Gods before Me""..........................................................................224"
,,The Above Words Contain A Command And A Prohibition........................................................224
,,What They Command .................................................................................................................224
,,What They Forbid........................................................................................................................224
,,Importance Of This Commandment ............................................................................................225
,,Sins Against This Commandment...............................................................................................225
,,Veneration And Invocation Of Angels And Saints Not Forbidden By This Commandment........225
,,It Is Lawful To Honour And Invoke The Angels...........................................................................225
,,It Is Lawful To Honour And Invoke The Saints............................................................................226
,,Objections Answered ..................................................................................................................226
,,The Honour And Invocation Of Saints Is Approved By Miracles.................................................227
,,"""Thou shalt not make to thyself a graven thing, nor the likeness of any thing that is in"
,,"heaven above, or in the earth beneath, nor of those things that are in the waters under the"
,,"earth: thou shalt not adore them nor serve them"" ................................................................227"
,,The Above Words Do Not Forbid All Images ..............................................................................227
,,They Forbid Idols And Representations Of The Deity ................................................................227
,,They Do Not Forbid Representations Of The Divine Persons And Angels.................................228
,,They Do Not Forbid Images Of Christ And The Saints ...............................................................228
,,Usefulness Of Sacred Images.....................................................................................................228
,,"""I am the Lord thy God, mighty, jealous, visiting the iniquity of the fathers upon the"
,,"children, to the third and fourth generation of them that hate me, and showing mercy unto"
,,"thousands of them that love me, and keep my commandments."".......................................229"
,,Mighty..........................................................................................................................................229
,,Jealous........................................................................................................................................230
,,Zeal In The Service Of God.........................................................................................................230
,,"""Visiting The Iniquity,"" Etc. ..........................................................................................................230"
,,"""And Showing Mercy, Etc............................................................................................................231"
,,"""Of Them That Hate Me"" .............................................................................................................231"
,"THE SECOND COMMANDMENT : ""Thou shalt not take the name of the lord thy god in vain""...231",
,,Why This Commandment Is Distinct From The First ..................................................................231
,,Importance Of Instruction On This Commandment.....................................................................232
,,Positive Part of this Commandment............................................................................................232
,,Various Ways Of Honouring God's Name...................................................................................232
,,Public Profession Of Faith...........................................................................................................232
,,Respect For The Word Of God ...................................................................................................233
,,Praise And Thanksgiving.............................................................................................................233
,,Prayer..........................................................................................................................................233
,,Oaths...........................................................................................................................................233
,,Meaning Of An Oath....................................................................................................................234
,,Oaths Are Affirmatory And Promissory .......................................................................................234
,,Conditions Of A Lawful Oath.......................................................................................................234
,,First Condition: Truth...................................................................................................................234
,,Second Condition: Judgment ......................................................................................................235
,,Third Condition: Justice...............................................................................................................235
,,Lawfulness Of Oaths ...................................................................................................................235
,,An Objection Against Oaths ........................................................................................................236
,,Negative Part of this Commandment ..........................................................................................236
,,Various Ways In Which Cod's Name Is Dishonoured: False Oaths ...........................................237
,,Unjust Oaths................................................................................................................................237
,,Rash Oaths..................................................................................................................................237
,,Oaths By False Gods ..................................................................................................................237
,,Irreverent Speech........................................................................................................................238
,,Neglect Of Prayer........................................................................................................................238
,,16Blasphemy...................................................................................................................................238
,,Sanction of this Commandment ..................................................................................................238
,"THIRD COMMANDMENT : ""Remember that thou keep holy the sabbath day. Six days shalt thou labour, and do all thy works; but on the seventh day is the sabbath of the lord thy god; thou shalt do no work on it, neither thou nor thy son, nor thy daughter, nor thy man-servant, nor thy maid-servant, nor thy beast, nor the stranger that is within thy gates. For in six days the lord made heaven and earth, and the sea, and all things that are in them, and rested on the seventh day; wherefore the lord blessed the seventh day and sanctified it."" .............................................................................239",
,,Reasons For This Commandment ..............................................................................................239
,,Importance Of Instruction On This Commandment.....................................................................239
,,How The Third Differs From The Other Commandments ...........................................................240
,,How The Third Is Like The Other Commandments.....................................................................240
,,The Jewish Sabbath Changed To Sunday By The Apostles ......................................................240
,,Four Parts Of This Commandment .............................................................................................241
,,First Part of this Commandment..................................................................................................241
,,"""Remember""................................................................................................................................241"
,,Sabbath.......................................................................................................................................241
,,"""Keep Holy"".................................................................................................................................242"
,,Second Part of this Commandment ............................................................................................242
,,"""The Seventh Day Is The Sabbath Of The Lord Thy God"" .........................................................242"
,,Other Festivals Observed By The Jews......................................................................................243
,,"The Sabbath, Why Changed To Sunday ....................................................................................243"
,,Other Festivals Observed By The Church ..................................................................................243
,,"""Six Days Shalt Thou Labour And Do All Thy Work"" ..................................................................243"
,,Third Part of this Commandment ................................................................................................244
,,Works Forbidden .........................................................................................................................244
,,Works Permitted..........................................................................................................................244
,,Why Animals Are Not To Be Employed On The Sabbath...........................................................244
,,Works Commanded Or Recommended ......................................................................................245
,,Motives for the Observance of this Commandment....................................................................245
,,Reasonableness Of This Duty.....................................................................................................245
,,The Observance Of This Commandment Brings Many Blessings..............................................245
,,Neglect Of This Commandment A Great Crime..........................................................................246
,"THE FOURTH COMMANDMENT : ""Honour thy father and thy mother, that thou mayest be long lived upon the land which the lord thy god will give thee."" .............................................................246",
,,Relative Importance Of The Preceding And The Following Commandments ............................246
,,Importance Of Instruction On The Fourth Commandment..........................................................246
,,The Two Tables Of The Law.......................................................................................................247
,,"Explanation of the Fourth Commandment: ""Honour""..................................................................248"
,,"""Thy Father"".................................................................................................................................248"
,,Why Parents Should Be Honoured .............................................................................................248
,,"""And Thy Mother"" ........................................................................................................................248"
,,Manner Of Honouring Parents ....................................................................................................249
,,Manner Of Honouring Other Superiors .......................................................................................249
,,The Honour Due To Bishops And Priests ...................................................................................250
,,The Honour Due To Civil Rulers .................................................................................................250
,,"That Thou Mayest be Long-lived,"" etc........................................................................................250"
,,Reward Promised For Observance Of This Commandment ......................................................251
,,Why This Reward Is Not Always Conferred On Dutiful Children ................................................251
,,Punishment For Violation Of This Commandment......................................................................251
,,Duties of Parents Towards their Children ...................................................................................252
,,Three Things To Be Avoided By Parents....................................................................................252
,"THE FIFTH COMMANDMENT : ""Thou shalt not kill"" .....................................................................252",
,,17Importance Of Instruction On This Commandment.....................................................................252
,,Two Parts Of This Commandment..............................................................................................253
,,The Prohibitory Part of this Commandment ................................................................................253
,,Exceptions: The Killing Of Animals .............................................................................................253
,,Execution Of Criminals................................................................................................................253
,,Killing In A Just War ....................................................................................................................253
,,Killing By Accident.......................................................................................................................254
,,Killing In Self-Defence.................................................................................................................254
,,Negative Part Of This Commandment Forbids Murder And Suicide ..........................................254
,,Sinful Anger Is Also Forbidden By The Fifth Commandment .....................................................255
,,Remedies Against The Violation Of This Commandment...........................................................255
,,Positive Part of this commandment.............................................................................................256
,,Love Of Neighbour Inculcated.....................................................................................................256
,,Charity To All Commanded .........................................................................................................256
,,"Patience, Beneficence And Mildness Commanded ....................................................................256"
,,Forgiveness Of Injuries Commanded..........................................................................................256
,,How to Persuade Men to Forgive Injuries ...................................................................................257
,,All We Have To Endure Comes From God.................................................................................257
,,Advantages Of Forgiveness........................................................................................................257
,,Disadvantages Of Revenge ........................................................................................................257
,,Remedies Against Hatred ...........................................................................................................258
,"THE SIXTH COMMANDMENT : ""Thou shalt not commit adultery""...............................................258",
,,The Position Of This Commandment In The Decalogue Is Most Suitable..................................258
,,Importance Of Careful Instruction On This Commandment........................................................258
,,Two Parts Of This Commandment..............................................................................................259
,,What this Commandment Prohibits.............................................................................................259
,,Adultery Forbidden ......................................................................................................................259
,,Other Sins Against Chastity Are Forbidden ................................................................................259
,,Why Adultery Is Expressly Mentioned.........................................................................................259
,,What this Commandment Prescribes..........................................................................................260
,,Purity Enjoined ............................................................................................................................260
,,Reflections which Help one to Practice Purity.............................................................................260
,,Impurity Excludes From Heaven .................................................................................................260
,,Impurity Is A Filthy Sin.................................................................................................................260
,,Adultery Is A Grave Injustice.......................................................................................................261
,,Adultery Is Disgraceful ................................................................................................................261
,,Impurity Severely Punished.........................................................................................................261
,,Impurity Blinds The Mind And Hardens The Heart......................................................................261
,,Means of practicing purity ...........................................................................................................262
,,Avoidance Of Idleness ................................................................................................................262
,,Temperance................................................................................................................................262
,,Custody Of The Eyes ..................................................................................................................262
,,Avoidance Of Immodest Dress....................................................................................................262
,,"Avoidance Of Impure Conversation, Reading, Pictures..............................................................263"
,,Frequentation Of The Sacraments..............................................................................................263
,,Mortification.................................................................................................................................263
,"THE SEVENTH COMMANDMENT : ""Thou shalt not steal""...........................................................263",
,,Importance Of Instruction On This Commandment.....................................................................263
,,This Commandment A Proof Of The Love Of God Towards Us And A Claim On Our Gratitude264
,,Two Parts Of This Commandment..............................................................................................264
,,Negative Part of this Commandment ..........................................................................................264
,,Stealing Forbidden ......................................................................................................................264
,,Theft And Robbery Forbidden.....................................................................................................264
,,Various Names Given To Stealing ..............................................................................................265
,,18Desire Of Stealing Forbidden......................................................................................................265
,,Gravity Of The Sin Of Stealing....................................................................................................265
,,The Chief Kinds Of Stealing........................................................................................................265
,,Various Forms Of Theft...............................................................................................................265
,,Various Forms Of Robbery..........................................................................................................266
,,Positive Part of this Commandment............................................................................................267
,,Restitution Enjoined ....................................................................................................................267
,,Who Are Held To Restitution.......................................................................................................267
,,Almsdeeds Enjoined....................................................................................................................268
,,Inducements To Practice Almsgiving ..........................................................................................268
,,Ways Of Giving Alms ..................................................................................................................268
,,Frugality Is Enjoined....................................................................................................................269
,,Sanction Of This Commandment ................................................................................................269
,,The Punishment Of Its Violation..................................................................................................269
,,The Reward Of Observing This Commandment.........................................................................269
,,Excuses for Stealing Refuted......................................................................................................269
,,The Plea Of Rank And Position...................................................................................................270
,,The Plea Of Greater Ease And Elegance ...................................................................................270
,,The Plea Of The Other's Wealth .................................................................................................270
,,The Plea Of Force Of Habit.........................................................................................................270
,,The Plea Of Favourable Opportunity ..........................................................................................271
,,The Plea Of Revenge..................................................................................................................271
,,The Plea Of Financial Embarrassment .......................................................................................271
,"THE EIGHTH COMMANDMENT : ""Thou shalt not bear false witness against thy neighbour"" ....271",
,,Importance Of Instruction On This Commandment.....................................................................271
,,This Commandment Should Call Forth Our Gratitude ................................................................272
,,Two Parts Of This Commandment..............................................................................................272
,,Negative Part Of This Commandment ........................................................................................272
,,"""Against Thy Neighbour"" .............................................................................................................272"
,,False Testimony In Favour Of A Neighbour Is Also Forbidden...................................................273
,,"""Thou Shalt Not Bear False Witness"" .........................................................................................273"
,,All Falsehoods In Lawsuits Are Forbidden..................................................................................273
,,False Testimony Out Of Court Is Forbidden ...............................................................................273
,,This Commandment Forbids Detraction .....................................................................................274
,,Various Kinds Of Detraction........................................................................................................274
,,This Commandment Forbids Flattery..........................................................................................274
,,This Commandment Forbids Lies Of All Kinds ...........................................................................275
,,This Commandment Forbids Hypocrisy ......................................................................................275
,,Positive Part of this Commandment............................................................................................275
,,Judges Must Pass Sentence According To Law And Justice.....................................................275
,,Witnesses Must Give Testimony Truthfully .................................................................................276
,,Lawyers And Plaintiffs Must Be Guided By Love Of Justice.......................................................276
,,All Must Speak Truthfully And With Charity ................................................................................276
,,Inducements To Truthfulness......................................................................................................276
,,How To Avoid Lying ....................................................................................................................277
,,Excuses for Lying Refuted ..........................................................................................................277
,,The Plea Of Prudence.................................................................................................................277
,,The Plea Of Revenge..................................................................................................................277
,,"The Pleas Of Frailty, Habit, And Bad. Example ..........................................................................278"
,,"The Pleas Of Convenience, Amusement, And Advantage .........................................................278"
,"THE NINTH AND TENTH COMMANDMENTS : ""Thou shalt not covet thy neighbour's house: neither shalt thou desire his wife, nor his servant, nor his hand-maid, nor his ox, nor his ass, nor anything that is his.""........................................................................................................................278",
,,Importance Of Instruction On These Two Commandments........................................................278
,,19Why These Two Commandments Are Explained Here Together...............................................279
,,Necessity Of Promulgating These Two Commandments ...........................................................279
,,These Two Commandments Teach God's Love For Us And Our Need Of Him.........................279
,,Two Parts Of These Commandments.........................................................................................280
,,Negative Part...............................................................................................................................280
,,"""Thou Shalt Not Covet"" ...............................................................................................................280"
,,What Sort Of Concupiscence Is Not Forbidden ..........................................................................280
,,What Sort Of Concupiscence Is Here Prohibited........................................................................281
,,Two Kinds Of Sinful Concupiscence ...........................................................................................281
,,The Various Objects We Are Forbidden To Covet......................................................................281
,,Thy Neighbour’s House...............................................................................................................282
,,"""Nor His Ox, Nor His Ass'............................................................................................................282"
,,"""Nor His Servant..........................................................................................................................282"
,,"""Thy Neighbour's""........................................................................................................................282"
,,Goods For Sale Not Included Under This Prohibition .................................................................282
,,"""His Wife"".....................................................................................................................................282"
,,Positive Part................................................................................................................................283
,,Detachment From Riches Enjoined ............................................................................................283
,,The Desire Of Heavenly And Spiritual Things Enjoined .............................................................283
,,Thoughts which Help one to Keep these Commandments.........................................................283
,,Chief Ways in which These two Commandments are Violated ..................................................284
PART IV : THE LORD'S PRAYER ....................................................................................................284,,
,PRAYER.........................................................................................................................................284,
,,Importance Of Instruction On Prayer ..........................................................................................284
,,Necessity of Prayer .....................................................................................................................285
,,The Fruits of Prayer.....................................................................................................................285
,,Prayer Honours God ...................................................................................................................285
,,Prayer Obtains What We Request ..............................................................................................286
,,Proof............................................................................................................................................286
,,Unwise And Indevout Prayers Unheard ......................................................................................286
,,To Devout Prayer And Dispositions God Grants More Than Is Asked .......................................286
,,Prayer Exercises And Increases Faith ........................................................................................287
,,Prayer Strengthens Our Hope In God.........................................................................................287
,,Prayer Increases Charity.............................................................................................................287
,,Prayer Disposes The Soul For Divine Blessings.........................................................................287
,,Prayer Makes Us Realise Our Own Needfulness .......................................................................287
,,Prayer Is A Protection Against The Devil ....................................................................................288
,,Prayer Promotes A Virtuous Life.................................................................................................288
,,Prayer Disarms The Divine Vengeance ......................................................................................288
,,The Parts Of Prayer ....................................................................................................................288
,,The Two Chief Parts Of Prayer Petition And Thanksgiving ........................................................288
,,Degrees Of Petition And Thanksgiving .......................................................................................289
,,The Highest Degree Of Prayer: The Prayer Of The Just ............................................................289
,,The Second Degree Of Prayer: The Prayer Of Sinners..............................................................289
,,The Third Degree Of Prayer: The Prayer Of Unbelievers...........................................................290
,,The Lowest Degree Of Prayer: The Prayer Of The Impenitent...................................................290
,,What We Should Pray For...........................................................................................................290
,,Spiritual Goods............................................................................................................................290
,,External Goods And Goods Of Body ..........................................................................................290
,,Goods Of The Mind .....................................................................................................................291
,,For Whom We Ought to Pray......................................................................................................291
,,The Prayer Of Petition Should Be Offered For All.......................................................................291
,,Those For Whom We Should Especially Offer Our Petitions: Pastors .......................................291
,,Rulers Of Our Country.................................................................................................................292
,,20The Just.......................................................................................................................................292
,,Enemies And Those Outside The Church...................................................................................292
,,The Dead.....................................................................................................................................292
,,Sinners........................................................................................................................................292
,,The Prayer Of Thanksgiving Should Be Offered For All .............................................................293
,,Our Thanksgiving Should Especially Be Offered: For The Saints ..............................................293
,,For The Blessed Virgin Mary.......................................................................................................293
,,To Whom We Should Pray..........................................................................................................293
,,To God.........................................................................................................................................293
,,To The Saints ..............................................................................................................................294
,,God And The Saints Addressed Differently ................................................................................294
,,Preparation for Prayer.................................................................................................................294
,,Humility........................................................................................................................................294
,,Sorrow For Sin ............................................................................................................................295
,,"Freedom From Violence, Anger, Hatred And Inhumanity ...........................................................295"
,,Freedom From Pride And Contempt Of God's Word ..................................................................295
,,Faith And Confidence..................................................................................................................295
,,Motives Of Confidence In Prayer ................................................................................................296
,,Correspondence With God's Will ................................................................................................296
,,Fraternal Charity..........................................................................................................................296
,,How to Pray Well.........................................................................................................................296
,,We Must Pray In Spirit And In Truth............................................................................................297
,,Mental Prayer ..............................................................................................................................297
,,Vocal Prayer................................................................................................................................297
,,Private And Public Prayer ...........................................................................................................297
,,Those Who Do Nor Pray In Spirit................................................................................................297
,,Those Who Do Not Pray In Truth................................................................................................298
,,We Must Pray With Perseverance ..............................................................................................298
,,We Must Pray In The Name Of Jesus Christ ..............................................................................298
,,"We Must Pray With Fervour, Uniting Petition To Thanksgiving ..................................................298"
,,Fasting And Almsdeeds Should Be Joined To Prayer ................................................................298
,OPENING WORDS OF THE LORD'S PRAYER............................................................................299,
,,"""Our Father who art in heaven"" ...............................................................................................299"
,,Importance Of Instruction On These Words................................................................................299
,,"""Father""........................................................................................................................................299"
,,God Is Called Father Because He Created Us ...........................................................................299
,,God Is Called Father Because He Provides For Us....................................................................300
,,God's Care For Us Is Seen In The Appointment Of Guardian Angels........................................300
,,How We Are Helped By The Angels ...........................................................................................300
,,God's Care For Us Seen In The Love He Has Ever Shown To Man ..........................................301
,,God Is Called Father Because He Has Granted Us Redemption...............................................301
,,Duties We Owe Our Heavenly Father.........................................................................................302
,,"""Our""............................................................................................................................................303"
,,"Dispositions That Should Accompany The Words, ""Our Father"": Fraternal Regard ..................303"
,,Filial Confidence And Piety .........................................................................................................304
,,"""Who art in Heaven"" ....................................................................................................................304"
,,Meaning Of These Words ...........................................................................................................304
,,"Lessons Taught By The Words, ""Who Art In Heaven""................................................................305"
,"THE FIRST PETITION OF THE LORD'S PRAYER : ""Hallowed be thy name"" .............................305",
,,Why This Petition Is Placed First.................................................................................................305
,,Object Of The First Three Petitions.............................................................................................306
,,Hallowed Be Thy Name...............................................................................................................306
,,"On Earth As It Is In Heaven"" .......................................................................................................306"
,,What Sanctification of God's Name we should Pray For ............................................................306
,,21That The Faithful May Glorify Him...............................................................................................306
,,That Unbelievers May Be Converted ..........................................................................................307
,,That Sinners May Be Converted .................................................................................................307
,,That God May Be Thanked For His Favours ..............................................................................307
,,That The Church May Be Recognised By All..............................................................................307
,,What Sanctification Of God's Name We Should Practice...........................................................308
,"THE SECOND PETITION OF THE LORD'S PRAYER : ""Thy kingdom come"" .............................308",
,,Importance Of Instruction On This Petition .................................................................................308
,,Greatness Of This Petition ..........................................................................................................308
,,Necessity Of Rightly Making This Petition ..................................................................................309
,,Motives For Adopting The Necessary Means .............................................................................309
,,"""Thy Kingdom"".............................................................................................................................310"
,,The Kingdom Of Nature ..............................................................................................................310
,,The Kingdom Of Grace ...............................................................................................................310
,,The Kingdom Of Glory.................................................................................................................311
,,"""Come""........................................................................................................................................311"
,,We Pray For The Propagation Of The Church............................................................................311
,,For The Conversion Of Sinners...................................................................................................312
,,That Christ May Reign Over All...................................................................................................312
,,Dispositions That Should Accompany This Petition....................................................................312
,,We Should Prize God's Kingdom Above All Things....................................................................312
,,We Must Realise That We Are Exiles .........................................................................................313
,,We Must Labor To Obtain God's Kingdom..................................................................................313
,,Recapitulation..............................................................................................................................313
,"THE THIRD PETITION OF THE LORD'S PRAYER : ""Thy will be done"" ......................................313",
,,The Relation Of This Petition To The Previous One...................................................................313
,,Necessity Of This Petition ...........................................................................................................314
,,Man’s Proneness To Act Against God’s Will...............................................................................314
,,Man’s Blindness Concerning God’s Will .....................................................................................314
,,Man’s Weakness In Fulfilling God’s Will .....................................................................................314
,,Remedy For These Evils.............................................................................................................315
,,Man's Passions Rebel Against God's Will...................................................................................315
,,"""Thy Will"".....................................................................................................................................316"
,,"""Be Done""....................................................................................................................................316"
,,We Ask That We May Fulfil What God Desires Of Us ................................................................316
,,We Ask That We May Not Yield To Our Own Inordinate Desires...............................................317
,,We Ask That Our Mistaken Requests Be Not Granted...............................................................317
,,We Ask That Even Our Good Requests Be Granted Only When They Are According To God’s Will...............................................................................................................................................317
,,We Ask That God May Perfect In Us What His Grace Has Begun.............................................318
,,We Ask That All May Know God’s Will........................................................................................318
,,"""On Earth as it is in Heaven"".......................................................................................................318"
,,This Petition Contains an Act of Thanksgiving............................................................................318
,,The Dispositions that should Accompany this Petition ...............................................................319
,,A Sense Of Our Own Weakness Of Will .....................................................................................319
,,Appreciation Of The Dignity Of Doing God's Will........................................................................319
,,Resignation To God’s Will...........................................................................................................319
,"THE FOURTH PETITION OF THE LORD'S PRAYER : ""Give us this day our daily bread""..........319",
,,The Relation Of The Following Petitions To Those That Preceded............................................320
,,How To Pray For Temporal Blessings ........................................................................................320
,,Means Of Ascertaining Purity Of Intention In Offering This Petition ...........................................320
,,Necessity of the Fourth Petition ..................................................................................................320
,,Man Needs Many Things For His Bodily Life..............................................................................320
,,22To Supply His Bodily Wants Man Must Labor.............................................................................321
,,Without God’s Help Man’s Labor Is Vain ....................................................................................321
,,Inducements to Use this Petition.................................................................................................321
,,"""Bread""........................................................................................................................................322"
,,We Ask For Temporal Blessings.................................................................................................322
,,It Is Lawful To Pray For Temporal Blessings ..............................................................................322
,,"The Wants, Not The Luxuries Of This Life Are Meant By The Word ""Bread"".............................322"
,,"""Our""............................................................................................................................................323"
,,"""Daily""..........................................................................................................................................323"
,,"""Give""...........................................................................................................................................324"
,,"""us""..............................................................................................................................................324"
,,"""This Day""....................................................................................................................................324"
,,The Spiritual Bread Asked for in this Petition..............................................................................324
,,The Word Of God Is Our Spiritual Bread ....................................................................................325
,,"Christ Is Our Spiritual Bread, Especially In The Holy Eucharist..................................................325"
,,"Why The Holy Eucharist Is Called Our ""Daily"" Bread .................................................................325"
,,Exhortations.................................................................................................................................326
,"THE FIFTH PETITION OF THE LORD'S PRAYER : ""And forgive us our debts, as we forgive our debtors"" ..........................................................................................................................................326",
,,The Importance Of Explaining This Petition................................................................................326
,,Difference Between This And The Preceding Petitions ..............................................................326
,,Dispositions with which this petition should be Offered ..............................................................326
,,Acknowledgment Of Sin ..............................................................................................................327
,,Sorrow For Sin ............................................................................................................................327
,,Motives For Sorrow Over Sin: The Baseness Of Sin..................................................................327
,,The Consequences Of Sin ..........................................................................................................328
,,Confidence In God's Mercy .........................................................................................................328
,,"""Debts"".........................................................................................................................................329"
,,"""Our""............................................................................................................................................329"
,,"""Forgive Us"".................................................................................................................................330"
,,"""As we Forgive our Debtors"" .......................................................................................................330"
,,Necessity Of Forgiveness ...........................................................................................................330
,,Reasons For Forgiveness ...........................................................................................................331
,,This Petition Should Not be Neglected .......................................................................................331
,,Those Unable To Forget Injuries.................................................................................................331
,,Those Who Do Not Love Their Enemies.....................................................................................331
,,How to Make this Petition Fruitful................................................................................................332
,,Penitential Dispositions ...............................................................................................................332
,,Avoidance Of Dangers Of Sin .....................................................................................................332
,,Imitation Of Fervent Penitents.....................................................................................................332
